ID,Price,Province,HouseType,ConstructionYear,LivingArea_m2,Garden,Balcony,Attic,StatusRank,StatusScore,Avg_property_value_m2,Avg_property_value_per_House
2684219,178082,Zeeland,Semidetached,2017,120,1,0,0,2233,-0.15,1698.226212,203787.1454
2681978,241403,Frysl̢n,Detached,1930,71,0,0,0,2899,-0.84,1695.027593,120346.9591
2684837,277145,Overijssel,Detached,1993,90,0,0,0,2944,-0.92,1668.157895,150134.2105
2684859,112522,Zeeland,Semidetached,1920,102,0,0,0,2758,-0.66,1100,112200
2675023,93746,Drenthe,TownHouse,1969,56,0,0,0,2367,-0.27,1250,70000
2684766,111429,Overijssel,Semidetached,1920,70,1,0,0,2825,-0.74,1500,105000
2685260,127027,Limburg,TownHouse,1930,100,1,0,0,1397,0.41,1600,160000
2683411,357502,Groningen,Detached,1897,143,1,0,0,2328,-0.23,1100,157300
2674813,145222,Frysl̢n,TownHouse,1972,116,1,0,0,2863,-0.79,1250,145000
2691206,192764,Zeeland,TownHouse,1964,80,1,0,0,2982,-0.98,2750,220000
2683080,242062,Groningen,Detached,1965,88,0,0,0,3298,-1.73,1100,96800
2683505,133635,Drenthe,TownHouse,1971,120,1,0,0,3308,-1.77,1271.932299,152631.8759
2676758,94364,Frysl̢n,TownHouse,1970,90,0,0,0,3349,-1.98,1100,99000
2684761,164126,Overijssel,Semidetached,1921,65,1,0,0,2250,-0.17,1600,104000
2688142,148158,Groningen,Apartment,1993,65,0,1,0,2583,-0.44,1320,85800
2684815,148884,Overijssel,TownHouse,1952,70,1,0,0,2669,-0.55,1300,91000
2689766,145615,Frysl̢n,TownHouse,1986,100,1,0,0,2863,-0.79,1250,125000
2684855,141489,Zeeland,NotSpecified,1948,90,1,0,0,2927,-0.88,1200,108000
2683493,134384,Drenthe,TownHouse,1973,105,1,0,0,3308,-1.77,1271.932299,133552.8914
2686098,267814,Noord Brabant,Detached,1950,80,0,0,0,2192,-0.12,1900,152000
2683470,107930,Drenthe,Semidetached,1955,90,0,0,0,3308,-1.77,1271.932299,114473.9069
2679711,220093,Frysl̢n,Semidetached,1982,96,1,0,0,501,1.09,1400,134400
2688995,250471,Frysl̢n,Detached,1921,100,0,0,0,2899,-0.84,1695.027593,169502.7593
2683167,137851,Zeeland,Semidetached,1920,94,1,0,0,3079,-1.17,2750,258500
2683490,275952,Drenthe,Detached,1931,87.8,1,0,0,3308,-1.77,1271.932299,111675.6559
2685261,264382,Limburg,Detached,1930,100,1,0,0,1397,0.41,1600,160000
2682233,296049,Zeeland,Detached,1901,76,1,0,0,1288,0.47,1500,114000
2677005,268438,Frysl̢n,Detached,1975,72,1,0,0,2077,-0.02,1400,100800
2687795,212091,Zeeland,Detached,1920,72,1,0,0,2979,-0.97,1502.700491,108194.4354
2683472,114729,Drenthe,Semidetached,1940,145,1,0,0,3308,-1.77,1271.932299,184430.1834
2683498,105064,Drenthe,CornerHouse,1953,99,1,1,0,3308,-1.77,1271.932299,125921.2976
2683454,65248,Groningen,Semidetached,1930,75,1,0,0,3493,-2.97,1290.106952,96758.02139
2684603,165043,Flevoland,TownHouse,1954,95,1,0,0,2482,-0.35,1400,133000
2683494,135012,Drenthe,CornerHouse,1973,100,1,0,0,3308,-1.77,1271.932299,127193.2299
2691058,181098,Zeeland,Semidetached,1922,108,1,0,0,2164,-0.09,1550,167400
2686683,138062,Groningen,TownHouse,1974,117,1,0,0,3054,-1.11,1300,152100
2684774,232576,Overijssel,TownHouse,1984,102,1,0,0,455,1.14,2000,204000
2678863,177660,Zeeland,TownHouse,1961,104,1,0,0,2913,-0.87,1502.700491,156280.8511
2683573,172179,Drenthe,Semidetached,1983,95,1,0,0,2980,-0.97,1350,128250
2689079,139541,Zeeland,TownHouse,1835,84,1,0,0,2979,-0.97,1502.700491,126226.8412
2683082,138703,Frysl̢n,TownHouse,1976,117,0,0,0,3306,-1.76,988,115596
2683277,242537,Zeeland,TownHouse,1870,160,1,0,0,2164,-0.09,1550,248000
2684798,153260,Overijssel,Semidetached,1994,96,1,0,0,2825,-0.74,1500,144000
2676795,167758,Drenthe,TownHouse,1971,125,1,0,0,3130,-1.28,1400,175000
2684996,183263,Flevoland,TownHouse,1958,80,1,0,0,1749,0.19,1700,136000
